ROI_name	hemisphere	structure	label	AreaDescription	region	network	network_ID
Hippocampus_L	L	cortex	H	Hippocampus	Temporal	Medial_Temporal	13.0
PreSubiculum_L	L	cortex	PreS	PreSubiculum	Temporal	Medial_Temporal	13.0
Entorhinal_Cortex_L	L	cortex	EC	Entorhinal Cortex	Temporal	Medial_Temporal	13.0
Perirhinal_Ectorhinal_Cortex_L	L	cortex	PeEc	Perirhinal Ectorhinal Cortex	Temporal	Medial_Temporal	13.0
Area_TF_L	L	cortex	TF	Area TF	Temporal	Medial_Temporal	13.0
ParaHippocampal_Area_1_L	L	cortex	PHA1	ParaHippocampal Area 1	Temporal	Medial_Temporal	13.0
ParaHippocampal_Area_2_L	L	cortex	PHA2	ParaHippocampal Area 2	Temporal	Medial_Temporal	13.0
ParaHippocampal_Area_3_L	L	cortex	PHA3	ParaHippocampal Area 3	Temporal	Medial_Temporal	13.0
Area_PHT_L	L	cortex	PHT	Area PHT	Temporal	Lateral_Temporal	14.0
Area_TE1_anterior_L	L	cortex	TE1a	Area TE1 anterior	Temporal	Lateral_Temporal	14.0
Area_TE1_Middle_L	L	cortex	TE1m	Area TE1 Middle	Temporal	Lateral_Temporal	14.0
Area_TE1_posterior_L	L	cortex	TE1p	Area TE1 posterior	Temporal	Lateral_Temporal	14.0
Area_TE2_anterior_L	L	cortex	TE2a	Area TE2 anterior	Temporal	Lateral_Temporal	14.0
Area_TE2_posterior_L	L	cortex	TE2p	Area TE2 posterior	Temporal	Lateral_Temporal	14.0
Area_TG_dorsal_L	L	cortex	TGd	Area TG dorsal	Temporal	Lateral_Temporal	14.0
Area_TG_Ventral_L	L	cortex	TGv	Area TG Ventral	Temporal	Lateral_Temporal	14.0
PeriSylvian_Language_Area_L	L	cortex	PSL	PeriSylvian Language Area	Temporo-Parietal	Temporo-Parieto_Occipital_Junction	15.0
Superior_Temporal_Visual_Area_L	L	cortex	STV	Superior Temporal Visual Area	Temporal	Temporo-Parieto-Occipital_Junction	15.0
Area_TemporoParietoOccipital_Junction_1_L	L	cortex	TPOJ1	Area TemporoParietoOcci pital Junction 1	Temporal	Temporo-Parieto-Occipital_Junction	15.0
Area_TemporoParietoOccipital_Junction_2_L	L	cortex	TPOJ2	Area TemporoParietoOcci pital Junction 2	Temporal	Temporo-Parieto-Occipital_Junction	15.0
Area_TemporoParietoOccipital_Junction_3_L	L	cortex	TPOJ3	Area TemporoParietoOcci pital Junction 3	Temporal	Temporo-Parieto-Occipital_Junction	15.0
Lateral_Area_7A_L	L	cortex	7AL	Lateral Area 7A	Parietal	Superior_Parietal	16.0
Medial_Area_7A_L	L	cortex	7AM	Medial Area 7A	Parietal	Superior_Parietal	16.0
Area_7PC_L	L	cortex	7PC	Area 7PC	Parietal	Superior_Parietal	16.0
Lateral_Area_7P_L	L	cortex	7Pl	Lateral Area 7P	Parietal	Superior_Parietal	16.0
Medial_Area_7P_L	L	cortex	7Pm	Medial Area 7P	Parietal	Superior_Parietal	16.0
Anterior_IntraParietal_Area_L	L	cortex	AIP	Anterior IntraParietal Area	Parietal	Superior_Parietal	16.0
Area_Lateral_IntraParietal_dorsal_L	L	cortex	LIPd	Area Lateral IntraParietal dorsal	Parietal	Superior_Parietal	16.0
Area_Lateral_IntraParietal_ventral_L	L	cortex	LIPv	Area Lateral IntraParietal ventral	Parietal	Superior_Parietal	16.0
Medial_IntraParietal_Area_L	L	cortex	MIP	Medial IntraParietal Area	Parietal	Superior_Parietal	16.0
Ventral_IntraParietal_Complex_L	L	cortex	VIP	Ventral IntraParietal Complex	Parietal	Superior_Parietal	16.0
Area_IntraParietal_0_L	L	cortex	IP0	Area IntraParietal 0	Parietal	Inferior_Parietal	17.0
Area_IntraParietal_1_L	L	cortex	IP1	Area IntraParietal 1	Parietal	Inferior_Parietal	17.0
Area_IntraParietal_2_L	L	cortex	IP2	Area IntraParietal 2	Parietal	Inferior_Parietal	17.0
Area_PF_Complex_L	L	cortex	PF	Area PF Complex	Parietal	Inferior_Parietal	17.0
Area_PFm_Complex_L	L	cortex	PFm	Area PFm Complex	Parietal	Inferior_Parietal	17.0
Area_PF_Opercular_L	L	cortex	PFop	Area PF opercular	Parietal	Inferior_Parietal	17.0
Area_PFt_L	L	cortex	PFt	Area PFt	Parietal	Inferior_Parietal	17.0
Area_PGi_L	L	cortex	PGi	Area PGi	Parietal	Inferior_Parietal	17.0
Area_PGp_L	L	cortex	PGp	Area PGp	Parietal	Inferior_Parietal	17.0
Area_PGs_L	L	cortex	PGs	Area PGs	Parietal	Inferior_Parietal	17.0
Area_23d_L	L	cortex	23d	Area 23d	Cingulate	Posterior_Cingulate	18.0
Area_31a_L	L	cortex	31a	Area 31a	Cingulate	Posterior_Cingulate	18.0
Area_31pd_L	L	cortex	31pd	Area 31pd	Cingulate	Posterior_Cingulate	18.0
Area_31p_ventral_L	L	cortex	31pv	Area 31p ventral	Cingulate	Posterior_Cingulate	18.0
Area_7m_L	L	cortex	7m	Area 7m	Cingulate	Posterior_Cingulate	18.0
Area_dorsal_23_a+b_L	L	cortex	d23ab	Area dorsal 23 a+b	Cingulate	Posterior_Cingulate	18.0
Dorsal_Transitional_Visual_Area_L	L	cortex	DVT	Dorsal Transitional Visual Area	Cingulate	Posterior_Cingulate	18.0
PreCuneus_Visual_Area_L	L	cortex	PCV	PreCuneus Visual Area	Cingulate	Posterior_Cingulate	18.0
Parieto-Occipital_Sulcus_Area_1_L	L	cortex	POS1	Parieto-Occipital Sulcus Area 1	Cingulate	Posterior_Cingulate	18.0
Parieto-Occipital_Sulcus_Area_2_L	L	cortex	POS2	Parieto-Occipital Sulcus Area 2	Cingulate	Posterior_Cingulate	18.0
ProStriate_Area_L	L	cortex	ProS	ProStriate Area	Cingulate	Posterior_Cingulate	18.0
RetroSplenial_Complex_L	L	cortex	RSC	Retrosplenial Cortex	Cingulate	Posterior_Cingulate	18.0
Area_ventral_23_a+b_L	L	cortex	v23ab	Area ventral 23 a+b	Cingulate	Posterior_Cingulate	18.0
Area_10r_L	L	cortex	10r	Area 10r	Frontal	Anterior_Cingulate_and_Medial_Prefrontal	19.0
