roi_name	lesion_only_score	multilayer_behaviour_score	predicted	residual	residual_z
ContA_IPS_4_R	1009.766835	8515487.503171	4222969.366664	4292518.136507	1.208258
ContA_OFC_1_R	689.205819	748495.284575	3534650.958257	-2786155.673682	-0.784247
ContA_PFCd_1_R	1765.75815	10018208.793192	5846257.017805	4171951.775387	1.174321
ContA_PFCl_1_R	2200.098994	10018208.793192	6778886.949475	3239321.843717	0.911804
ContA_PFCl_2_R	2200.098994	10018208.793192	6778886.949475	3239321.843717	0.911804
ContA_PFCl_3_R	2200.098994	10018208.793192	6778886.949475	3239321.843717	0.911804
ContA_PFCmp_1_R	2099.90204	3721194.657877	6563740.988294	-2842546.330417	-0.80012
ContA_SPL_1_R	378.897583	2774243.592502	2868347.632344	-94104.039842	-0.026488
ContA_Temp_1_R	1264.138012	11285070.716461	4769162.930317	6515907.786144	1.834098
ContB_FPole_1_R	2099.90204	10018208.793192	6563740.988294	3454467.804898	0.972364
ContB_IFG_1_R	2200.098994	10018208.793192	6778886.949475	3239321.843717	0.911804
ContB_IPL_1_R	1009.766835	11285070.716461	4222969.366664	7062101.349797	1.98784
ContB_IPL_2_R	1009.766835	11285070.716461	4222969.366664	7062101.349797	1.98784
ContB_IPS_1_R	1009.766835	11285070.716461	4222969.366664	7062101.349797	1.98784
ContB_OFC_1_R	2200.098994	10018208.793192	6778886.949475	3239321.843717	0.911804
ContB_OFC_2_R	689.205819	9264665.683491	3534650.958257	5730014.725234	1.612884
ContB_OFC_3_R	651.353689	1428327.355611	3453373.708137	-2025046.352526	-0.57001
ContB_PCC_1_R	651.353689	2774243.592502	3453373.708137	-679130.115635	-0.191162
ContB_PFCd_1_R	2200.098994	10018208.793192	6778886.949475	3239321.843717	0.911804
ContB_PFCl_2_R	2200.098994	10018208.793192	6778886.949475	3239321.843717	0.911804
ContB_PFCmp_1_R	2099.90204	3721194.657877	6563740.988294	-2842546.330417	-0.80012
ContB_Temp_1_R	1264.138012	11285070.716461	4769162.930317	6515907.786144	1.834098
ContC_Cingp_1_R	1765.75815	1428327.355611	5846257.017805	-4417929.662194	-1.243559
ContC_Cingp_2_R	1182.535211	2774243.592502	4593942.902608	-1819699.310106	-0.512209
ContC_IPL_1_R	1009.766835	8515487.503171	4222969.366664	4292518.136507	1.208258
ContC_Ins_1_R	2200.098994	1029736.264619	6778886.949475	-5749150.684856	-1.618271
ContC_OFC_1_R	689.205819	1428327.355611	3534650.958257	-2106323.602646	-0.592888
ContC_OFC_2_R	689.205819	1428327.355611	3534650.958257	-2106323.602646	-0.592888
ContC_PCC_1_R	679.099427	522380.34539	3512950.204551	-2990569.859161	-0.841786
ContC_PFCl_1_R	2200.098994	10018208.793192	6778886.949475	3239321.843717	0.911804
ContC_PFCl_2_R	2200.098994	10018208.793192	6778886.949475	3239321.843717	0.911804
ContC_PFCl_3_R	2099.90204	1029736.264619	6563740.988294	-5534004.723675	-1.557712
ContC_PFCm_1_R	2099.90204	1029736.264619	6563740.988294	-5534004.723675	-1.557712
ContC_PFCm_2_R	2099.90204	1029736.264619	6563740.988294	-5534004.723675	-1.557712
