roi_name	Foreperiod_Long_tau_p_raw	Foreperiod_Long_tau_p_fdr	GoNoGo_tau_p_raw	GoNoGo_tau_p_fdr	SATO_Accuracy_tau_p_raw	SATO_Accuracy_tau_p_fdr
ContC_PCC_1_R	0.564356	0.743336	0.405941	0.836991	0.782178	0.954918
ContC_PFCl_1_R	0.148515	0.743336	0.287129	0.803157	0.39604	0.954312
ContC_PFCl_2_R	0.118812	0.743336	0.287129	0.803157	0.415842	0.954918
ContC_PFCl_3_R	0.069307	0.743336	0.821782	0.952791	0.940594	0.954918
ContC_PFCm_1_L	0.594059	0.743336	0.821782	0.952791	0.782178	0.954918
ContC_PFCm_1_R	0.772277	0.780078	0.683168	0.92766	0.920792	0.954918
ContC_PFCm_2_L	0.475248	0.743336	0.613861	0.92766	0.633663	0.954918
ContC_PFCm_2_R	0.613861	0.746336	0.148515	0.803157	0.762376	0.954918
ContC_PFCm_3_R	0.306931	0.743336	0.574257	0.92766	0.851485	0.954918
ContC_PHC_1_L	0.39604	0.743336	0.623762	0.92766	0.366337	0.954312
ContC_pCun_1_L	0.564356	0.743336	0.435644	0.854203	0.891089	0.954918
ContC_pCun_1_R	0.49505	0.743336	0.118812	0.803157	0.346535	0.954312
ContC_pCun_2_L	0.574257	0.743336	0.524752	0.92766	0.722772	0.954918
DefaultA_FPole_1_L	0.19802	0.743336	0.881188	0.984568	0.772277	0.954918
DefaultA_IPL_1_L	0.435644	0.743336	0.683168	0.92766	0.683168	0.954918
DefaultA_IPL_1_R	0.326733	0.743336	0.049505	0.803157	0.019802	0.282885
DefaultA_IPL_2_L	0.425743	0.743336	0.653465	0.92766	0.673267	0.954918
DefaultA_PCC_1_L	0.50495	0.743336	0.851485	0.973126	0.792079	0.954918
DefaultA_PCC_1_R	0.415842	0.743336	0.564356	0.92766	0.257426	0.858086
DefaultA_PFCd_1_L	0.435644	0.743336	0.90099	0.99258	0.841584	0.954918
DefaultA_PFCd_1_R	0.148515	0.743336	0.287129	0.803157	0.435644	0.954918
DefaultA_PFCm_1_L	0.485149	0.743336	0.643564	0.92766	0.693069	0.954918
DefaultA_PFCm_1_R	0.594059	0.743336	0.50495	0.922284	0.792079	0.954918
DefaultA_PFCm_2_L	0.455446	0.743336	0.584158	0.92766	0.425743	0.954918
DefaultA_PFCm_2_R	0.673267	0.750159	0.574257	0.92766	0.821782	0.954918
DefaultA_PFCm_3_L	0.445545	0.743336	0.623762	0.92766	0.623762	0.954918
DefaultA_PFCm_3_R	0.554455	0.743336	0.069307	0.803157	0.762376	0.954918
DefaultA_PFCm_4_L	0.534653	0.743336	0.762376	0.92766	0.39604	0.954312
DefaultA_PFCm_4_R	0.623762	0.748331	0.514851	0.92766	0.772277	0.954918
DefaultA_PHC_1_L	0.782178	0.788089	0.564356	0.92766	0.851485	0.954918
DefaultA_PHC_1_R	0.663366	0.749566	0.425743	0.854203	0.069307	0.334009
DefaultA_TempPole_1_L	0.465347	0.743336	0.237624	0.803157	0.049505	0.291206
DefaultA_TempPole_1_R	0.584158	0.743336	0.277228	0.803157	0.059406	0.308602
DefaultA_TempPole_2_R	0.544554	0.743336	0.70297	0.92766	0.564356	0.954918
DefaultA_Temp_1_L	0.435644	0.743336	0.70297	0.92766	0.693069	0.954918
DefaultA_Temp_1_R	0.227723	0.743336	0.326733	0.806747	0.059406	0.308602
DefaultA_Temp_2_L	0.445545	0.743336	0.762376	0.92766	0.742574	0.954918
DefaultA_Temp_2_R	0.643564	0.748331	0.237624	0.803157	0.049505	0.291206
DefaultA_Temp_3_R	0.39604	0.743336	0.188119	0.803157	0.039604	0.282885
DefaultA_pCun_1_L	0.524752	0.743336	0.891089	0.990099	0.80198	0.954918
DefaultA_pCun_1_R	0.316832	0.743336	0.465347	0.878012	0.356436	0.954312
DefaultB_FPole_1_L	0.60396	0.743336	0.871287	0.984505	0.762376	0.954918
DefaultB_FPole_1_R	0.554455	0.743336	0.108911	0.803157	0.683168	0.954918
DefaultB_IPL_1_L	0.39604	0.743336	0.633663	0.92766	0.693069	0.954918
DefaultB_IPL_1_R	0.316832	0.743336	0.039604	0.803157	0.029703	0.282885
DefaultB_IPL_2_L	0.415842	0.743336	0.722772	0.92766	0.693069	0.954918
DefaultB_PCC_1_L	0.544554	0.743336	0.544554	0.92766	0.633663	0.954918
DefaultB_PCC_2_L	0.534653	0.743336	0.871287	0.984505	0.831683	0.954918
DefaultB_PFCd_1_L	0.752475	0.769796	0.871287	0.984505	0.841584	0.954918
DefaultB_PFCd_1_R	0.128713	0.743336	0.346535	0.824129	0.910891	0.954918
DefaultB_PFCd_2_L	0.445545	0.743336	0.90099	0.99258	0.871287	0.954918
DefaultB_PFCd_2_R	0.376238	0.743336	0.821782	0.952791	0.940594	0.954918
DefaultB_PFCd_3_L	0.386139	0.743336	0.881188	0.984568	0.80198	0.954918
DefaultB_PFCd_3_R	0.326733	0.743336	0.613861	0.92766	0.851485	0.954918
DefaultB_PFCd_4_L	0.287129	0.743336	0.891089	0.990099	0.851485	0.954918
DefaultB_PFCd_4_R	0.29703	0.743336	0.673267	0.92766	0.623762	0.954918
DefaultB_PFCl_1_L	0.60396	0.743336	0.990099	0.99258	0.920792	0.954918
DefaultB_PFCv_1_L	0.376238	0.743336	0.326733	0.806747	0.564356	0.954918
DefaultB_PFCv_1_R	0.623762	0.748331	0.267327	0.803157	0.039604	0.282885
DefaultB_PFCv_2_L	0.50495	0.743336	0.29703	0.806747	0.069307	0.334009
DefaultB_TempPole_1_L	0.465347	0.743336	0.772277	0.92766	0.752475	0.954918
DefaultB_TempPole_1_R	0.633663	0.748331	0.247525	0.803157	0.049505	0.291206
DefaultB_TempPole_2_L	0.445545	0.743336	0.70297	0.92766	0.693069	0.954918
DefaultB_Temp_1_L	0.445545	0.743336	0.742574	0.92766	0.673267	0.954918
DefaultB_Temp_1_R	0.415842	0.743336	0.188119	0.803157	0.029703	0.282885
DefaultB_Temp_2_L	0.475248	0.743336	0.772277	0.92766	0.693069	0.954918
DefaultB_Temp_2_R	0.366337	0.743336	0.158416	0.803157	0.049505	0.291206
DefaultB_pCun_1_R	0.326733	0.743336	0.455446	0.871666	0.336634	0.948264
DefaultC_IPL_1_L	0.445545	0.743336	0.722772	0.92766	0.693069	0.954918
DefaultC_IPL_1_R	0.336634	0.743336	0.633663	0.92766	0.059406	0.308602
DefaultC_IPL_2_R	0.376238	0.743336	0.118812	0.803157	0.029703	0.282885
